location,depth_cm,ammonia_mg_l,nitrite_mg_l,nitrate_mg_l,reactive_phosphate_mg_l,conductivity_microS_cm,dissolved_oxygen_mg_l,pH,temperature_C,month
2,250,0.05,0.26,0.19,0.31,294,4.81,7.9,28.2,May
2,300,0.08,0.38,0.19,0.34,321,4.46,7.66,28.2,May
2,350,0.08,0.38,0.18,0.35,332,4.23,7.62,27.4,May
2,400,0.09,0.45,0.15,0.35,339,3.71,7.61,27.4,May
2,450,0.14,0.81,0.15,0.35,357,2.22,7.31,27.4,May
2,500,0.26,0.91,0.1,0.35,385,0.1,7.29,27.4,May
2,550,0.29,1.3,0.1,1.11,411,0.07,7.21,27.2,May
2,600,0.31,1.4,0.08,1.42,480,0.05,7.11,27,May
3,0,0.04,0.06,0.45,0.21,241,7.88,8.12,29.2,May
3,50,0.04,0.15,0.35,0.21,255,6.57,8.12,29.2,May
3,100,0.04,0.15,0.35,0.21,261,6.34,8.12,28.5,May
3,150,0.05,0.23,0.21,0.25,269,6.01,8.04,28.2,May
3,200,0.05,0.25,0.23,0.35,279,5.22,7.91,28.4,May
3,250,0.05,0.26,0.19,0.37,307,4.75,7.81,28.2,May
3,300,0.07,0.35,0.19,0.39,341,4.51,7.68,28.2,May
3,350,0.07,0.39,0.18,0.39,347,4.42,7.69,27.6,May
3,400,0.08,0.42,0.15,0.39,364,3.62,7.34,27.6,May
3,450,0.14,0.87,0.15,0.42,371,2.27,7.34,27.8,May
3,500,0.25,0.94,0.1,0.42,398,0.1,7.31,27.8,May
3,550,0.21,1.32,0.1,1.13,411,0.11,7.24,27.9,May
3,600,0.25,1.45,0.08,1.49,441,0.11,7.21,27.5,May
1,0,0.05,0.1,0.51,0.11,320,7.15,8.69,28.8,October
1,50,0.1,0.4,0.4,0.13,338,7.05,8.69,28.6,October
1,100,0.1,0.6,0.4,0.13,430,6.93,8.65,28.5,October
1,150,0.1,0.71,0.2,0.13,453,5.41,8.61,28.2,October
1,200,0.12,1,0.2,0.13,644,3.42,8.6,27.9,October
1,250,0.14,1,0.2,0.56,731,2.14,8.33,27.8,October
1,300,0.2,1.41,0.1,0.72,835,0.51,8.33,27.5,October
1,350,0.4,2,0.05,1.2,985,0.13,8,27.2,October
2,0,0.05,0.3,0.67,0.09,312,7.41,8.7,28.7,October
2,50,0.05,0.5,0.54,0.1,327,7.1,8.64,28.7,October
2,100,0.1,0.5,0.48,0.1,365,6.32,8.61,28.6,October
2,150,0.12,0.5,0.37,0.1,436,4.99,8.54,28.5,October
2,200,0.14,0.6,0.22,0.1,588,3.33,8.32,27,October
2,250,0.18,1.5,0.13,0.58,752,2.56,8.27,27.8,October
2,300,0.3,1.5,0.09,0.71,843,0.54,8.07,27.5,October
2,350,0.4,1.6,0.06,1.14,933,0.19,7.95,27.2,October
3,0,0.04,0.2,0.41,0.08,338,6.95,8.55,28.8,October
3,50,0.05,0.4,0.51,0.09,343,6.51,8.55,28.7,October
3,100,0.09,0.4,0.41,0.09,365,6.12,8.55,28.6,October
3,150,0.1,0.5,0.33,0.1,412,5.12,8.5,28.2,October
3,200,0.14,0.6,0.21,0.1,472,4.51,8.44,27.8,October
3,250,0.19,1.2,0.19,0.4,532,2.85,8.14,27.6,October
